timestamp,frame_channels,band_no,total_channels,start_freq_MHz,end_freq_MHz,step_kHz,freq_0,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-770,-771,-771,-771,-260,-771,-771,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-3,-516,-4,-772,-259,-516,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-259,-515,-260,-771,-3,-771,-771,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-259,-3,-4,-3,-772
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-3,-3
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-3,-771,-4,-770,-2,-3,-3,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-259,-771,-771,-515,-3,-3,-516,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-259,-771,-3,-259,-259,-3,-260
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-772,-259,-3,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-259,-771,-3,-258,-515,-260,-2,-259
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-3,-3,-3,-515,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-260,-772,-3,-259,-259,-515,-771,-514
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,2,-3,-3,-260,-771,-771,-516,-771,-515
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,1,0,4,-771,-4,-260,-3,-771,-515,-771,-771
2026-04-12 15:00:22.981,0,0,0,0.0,0.0,0.0,2,0,0,-515,-258,-260,-515,-259,-259
2026-04-12 15:00:22.982,0,0,0,0.0,0.0,0.0,2,0,2,-770,-3,-771,-258,-771,-515
2026-04-12 15:00:22.982,0,0,0,0.0,0.0,0.0,1,0,4,-772,-514,-516,-514,-771,-259
2026-04-12 15:00:22.982,0,0,0,0.0,0.0,0.0,2,0,0,-515,-259,-259,-3,-3,-259,-258,-259
2026-04-12 15:00:22.982,0,0,0,0.0,0.0,0.0,2,0,2,-515,-771,-515,-3,-515,-515,-259,-3
